actors,worlwide_gross_income
 Pete Postlethwaite," 2,272,499,369.00 "
 Neil Patrick Harris," 2,271,510,434.00 "
 Allen Covert," 2,271,252,921.00 "
 Bill Camp," 2,266,703,582.00 "
 Patrick Dempsey," 2,256,178,820.00 "
 Mila Kunis," 2,254,731,167.00 "
 Jason Clarke," 2,250,393,978.00 "
 Gene Hackman," 2,248,137,141.00 "
 Salma Hayek," 2,247,272,726.00 "
 Brent Spiner," 2,245,699,096.00 "
 Laura Haddock," 2,241,972,364.00 "
 Dana Carvey," 2,241,029,429.00 "
 Amy Poehler," 2,238,259,486.00 "
 Yul Vazquez," 2,236,445,735.00 "
 Jennifer Garner," 2,236,378,090.00 "
 Jason Isaacs," 2,231,996,727.00 "
Clint Eastwood," 2,228,417,595.00 "
 Kristin Scott Thomas," 2,227,198,970.00 "
 Annette Bening," 2,223,800,751.00 "
 Suzy Amis," 2,218,954,606.00 "
 David Harbour," 2,217,888,202.00 "
 Daniel Brühl," 2,212,415,264.00 "
 Robin Wright," 2,208,828,669.00 "
 Blake Clark," 2,205,210,299.00 "
 Jake Gyllenhaal," 2,203,279,134.00 "
 Christina Applegate," 2,203,106,065.00 "
 Ezra Miller," 2,201,967,667.00 "
 Gloria Stuart," 2,195,275,852.00 "
 Anatoly M. Sagalevitch," 2,195,169,869.00 "
 Lewis Abernathy," 2,195,169,869.00 "
 Nicholas Cascone," 2,195,169,869.00 "
 Renée Zellweger," 2,193,430,436.00 "
 Michelle Yeoh," 2,190,202,618.00 "
Angelina Jolie," 2,185,894,092.00 "
 Pierce Brosnan," 2,184,866,907.00 "
 Andy Samberg," 2,182,242,745.00 "
 Joey King," 2,182,120,224.00 "
 Tim Pigott-Smith," 2,181,609,044.00 "
 Alan Arkin," 2,177,421,033.00 "
 Sam Elliott," 2,172,888,023.00 "
 Cheech Marin," 2,171,634,341.00 "
 Maggie Grace," 2,168,548,595.00 "
 Hugo Weaving," 2,166,202,570.00 "
 Rhys Darby," 2,165,688,123.00 "
 Liev Schreiber," 2,165,031,959.00 "
Tom Holland," 2,161,279,483.00 "
